src,dst,date,amount,channel
c3_klad_askar,c3_drop_zhanna,2026-07-16,44500,intra
c3_klad_askar,c3_drop_dana,2026-07-18,57800,intra
c3_kurier_timur,c3_sbor_bolat,2026-07-20,95000,intra
c3_klad_arman,c3_drop_samat,2026-07-22,102300,intra
c3_klad_madi,c3_drop_zhanibek,2026-07-23,49900,intra
c3_klad_erlan,c3_drop_nazerke,2026-07-21,52600,intra
c3_kurier_timur,c3_drop_beka,2026-07-24,196000,intra
c3_klad_sanzhar,c3_drop_aruzhan,2026-07-22,38900,intra
c3_klad_yerbol,c3_drop_dana,2026-07-23,31200,intra
c3_klad_askar,c3_drop_zhanna,2026-07-25,61000,intra
c3_klad_arman,c3_drop_dana,2026-07-29,91400,intra
c3_klad_madi,c3_drop_nazerke,2026-07-29,57700,intra
c3_kurier_timur,c3_drop_zhanibek,2026-07-30,164000,intra
c3_klad_erlan,c3_drop_beka,2026-07-28,44100,intra
c3_klad_askar,c3_drop_samat,2026-07-30,48800,intra
c3_klad_arman,c3_sbor_bolat,2026-07-31,36000,intra
c3_klad_arman,hub_taxi_park,2026-07-02,2400,intra
c3_klad_arman,hub_taxi_park,2026-07-09,5600,intra
c3_klad_arman,hub_taxi_park,2026-07-16,3100,intra
c3_klad_arman,hub_taxi_park,2026-07-23,6200,intra
c3_klad_arman,hub_grocery_2,2026-07-04,7840,intra
c3_klad_arman,hub_grocery_2,2026-07-18,4390,intra
c3_klad_arman,hub_cafe_1,2026-07-11,6500,intra
c3_klad_arman,c3_mama_arman,2026-07-10,30000,intra
c3_klad_arman,hub_phone_shop,2026-07-25,18990,intra
c3_klad_arman,ext_bk_fonbet,2026-07-14,10000,inter
c3_klad_madi,hub_taxi_park,2026-07-03,1900,intra
c3_klad_madi,hub_taxi_park,2026-07-17,5200,intra
c3_klad_madi,hub_grocery_4,2026-07-06,3650,intra
c3_klad_madi,hub_gym,2026-07-07,15000,intra
c3_klad_madi,c3_drug_madi,2026-07-19,8000,intra
c3_klad_madi,hub_cafe_2,2026-07-24,5850,intra
c3_klad_erlan,hub_taxi_park,2026-07-05,2800,intra
c3_klad_erlan,hub_grocery_1,2026-07-12,9120,intra
c3_klad_erlan,hub_landlord_3,2026-07-02,90000,intra
c3_klad_erlan,hub_bazaar_stall_1,2026-07-19,14000,intra
c3_klad_erlan,ext_kaspi_friend,2026-07-26,7000,inter
c3_kurier_timur,hub_auto_parts,2026-07-05,48500,intra
c3_kurier_timur,hub_auto_parts,2026-07-21,12700,intra
c3_kurier_timur,hub_taxi_park,2026-07-12,4800,intra
c3_kurier_timur,c3_zhena_timur,2026-07-06,70000,intra
c3_kurier_timur,c3_zhena_timur,2026-07-20,85000,intra
c3_kurier_timur,hub_grocery_3,2026-07-13,11460,intra
c3_kurier_timur,ext_gas_station,2026-07-15,15000,inter
c3_klad_sanzhar,hub_taxi_park,2026-07-11,2200,intra
c3_klad_sanzhar,hub_grocery_1,2026-07-15,3480,intra
c3_klad_sanzhar,hub_cafe_1,2026-07-20,4600,intra
c3_klad_sanzhar,c3_mama_sanzhar,2026-07-25,20000,intra
c3_klad_yerbol,c3_mama_yerbol,2026-07-05,15000,intra
c3_klad_yerbol,c3_mama_yerbol,2026-07-26,25000,intra
c3_klad_yerbol,hub_grocery_4,2026-07-10,2750,intra
c3_klad_yerbol,hub_taxi_park,2026-07-17,3900,intra
c3_klad_askar,hub_bazaar_stall_3,2026-07-06,32000,intra
c3_klad_askar,hub_taxi_park,2026-07-13,5400,intra
c3_klad_askar,hub_cafe_2,2026-07-19,7300,intra
c3_klad_askar,hub_landlord_1,2026-07-01,120000,intra
c3_klad_askar,hub_landlord_1,2026-07-31,120000,intra
c3_klad_aibek,hub_taxi_park,2026-07-06,1800,intra
c3_klad_aibek,hub_grocery_2,2026-07-08,3200,intra
c3_klad_aibek,c3_mama_aibek,2026-07-12,4000,intra
c3_klad_aibek,hub_grocery_2,2026-07-20,2650,intra
c3_klad_aibek,ext_mobile_topup,2026-07-21,2000,inter
c3_klad_aibek,ext_kaspi_friend_2,2026-07-27,15000,inter
c3_klad_nurlan,ext_mother_halyk,2026-07-15,20000,inter
c3_klad_nurlan,hub_grocery_3,2026-07-16,4150,intra
c3_klad_nurlan,ext_mother_halyk,2026-07-29,25000,inter
c3_klad_dauren,hub_grocery_1,2026-07-22,3900,intra
c3_klad_dauren,hub_taxi_park,2026-07-23,1500,intra
c3_kurier_ruslan,c3_zhena_ruslan,2026-07-03,80000,intra
c3_kurier_ruslan,hub_car_dealer_used,2026-07-18,350000,intra
c3_kurier_ruslan,hub_auto_parts,2026-07-22,27500,intra
c3_kurier_ruslan,hub_grocery_3,2026-07-09,8760,intra
c3_kurier_ruslan,c3_zhena_ruslan,2026-07-24,60000,intra
c3_kurier_ruslan,hub_taxi_park,2026-07-27,20000,intra
c3_drop_zhanna,c3_drop_kanat,2026-07-02,43800,intra
c3_drop_zhanna,c3_drop_askhat,2026-07-10,28100,intra
c3_drop_zhanna,c3_drop_kanat,2026-07-17,75100,intra
c3_drop_zhanna,c3_drop_moldir,2026-07-25,59100,intra
c3_drop_zhanna,hub_grocery_4,2026-07-03,2980,intra
c3_drop_zhanna,hub_grocery_4,2026-07-18,6340,intra
c3_drop_zhanna,c3_mama_zhanna,2026-07-12,10000,intra
c3_drop_zhanna,hub_beauty_salon,2026-07-26,9000,intra
c3_drop_zhanna,hub_pharmacy,2026-07-08,2350,intra
c3_drop_aruzhan,c3_drop_ilya,2026-06-30,81500,intra
c3_drop_aruzhan,c3_drop_ilya,2026-07-02,93600,intra
c3_drop_aruzhan,c3_drop_kanat,2026-07-09,56900,intra
c3_drop_aruzhan,c3_drop_moldir,2026-07-17,116000,intra
c3_drop_aruzhan,c3_drop_askhat,2026-07-18,116500,intra
c3_drop_aruzhan,c3_drop_ersultan,2026-07-23,37700,intra
c3_drop_aruzhan,hub_grocery_1,2026-07-03,3450,intra
c3_drop_aruzhan,c3_starosta_madina,2026-07-06,12000,intra
c3_drop_aruzhan,hub_cafe_2,2026-07-10,5200,intra
c3_drop_aruzhan,hub_beauty_salon,2026-07-19,11000,intra
c3_drop_aruzhan,hub_phone_shop,2026-07-20,7990,intra
c3_drop_aruzhan,c3_podruga_aruzhan,2026-07-24,5000,intra
c3_drop_aruzhan,hub_grocery_1,2026-07-27,2180,intra
c3_drop_aruzhan,ext_kaspi_shop,2026-07-21,14500,inter
c3_drop_beka,c3_drop_moldir,2026-07-03,68900,intra
c3_drop_beka,c3_drop_tomiris,2026-07-08,108800,intra
c3_drop_beka,c3_drop_ilya,2026-07-15,26600,intra
c3_drop_beka,c3_drop_askhat,2026-07-24,190100,intra
c3_drop_beka,c3_drop_saule,2026-07-29,42800,intra
c3_drop_beka,hub_auto_parts,2026-07-09,14500,intra
c3_drop_beka,c3_drug_beka,2026-07-12,10000,intra
c3_drop_beka,hub_grocery_2,2026-07-16,4800,intra
c3_drop_beka,hub_taxi_park,2026-07-25,1700,intra
c3_drop_beka,c3_papa_beka,2026-07-26,15000,intra
c3_drop_beka,ext_bk_1xbet,2026-07-27,5000,inter
c3_drop_beka,ext_bk_1xbet,2026-07-10,3000,inter
c3_drop_dana,c3_drop_moldir,2026-07-07,59800,intra
c3_drop_dana,c3_drop_askhat,2026-07-09,45900,intra
c3_drop_dana,c3_drop_saule,2026-07-18,56000,intra
c3_drop_dana,c3_drop_gulnaz,2026-07-24,30300,intra
c3_drop_dana,c3_drop_kanat,2026-07-29,88600,intra
c3_drop_dana,c3_hozyaika_raushan,2026-07-01,45000,intra
c3_drop_dana,c3_hozyaika_raushan,2026-08-01,45000,intra
c3_drop_dana,hub_grocery_3,2026-07-05,3120,intra
c3_drop_dana,hub_pharmacy,2026-07-14,2900,intra
c3_drop_dana,hub_grocery_3,2026-07-20,5640,intra
c3_drop_dana,c3_mama_dana,2026-07-21,8000,intra
c3_drop_dana,hub_cafe_2,2026-07-26,6100,intra
c3_drop_samat,c3_drop_askhat,2026-07-03,52100,intra
c3_drop_samat,c3_drop_ilya,2026-07-10,100000,intra
c3_drop_samat,c3_drop_moldir,2026-07-10,103500,intra
c3_drop_samat,c3_drop_kanat,2026-07-17,64400,intra
c3_drop_samat,c3_drop_tomiris,2026-07-22,99200,intra
c3_drop_samat,c3_drop_askhat,2026-07-31,47300,intra
c3_drop_samat,hub_taxi_park,2026-07-04,12000,intra
c3_drop_samat,hub_taxi_park,2026-07-11,12000,intra
c3_drop_samat,hub_taxi_park,2026-07-18,12000,intra
c3_drop_samat,hub_taxi_park,2026-07-25,12000,intra
c3_drop_samat,c3_zhena_samat,2026-07-05,40000,intra
c3_drop_samat,c3_zhena_samat,2026-07-19,35000,intra
c3_drop_samat,hub_grocery_4,2026-07-13,6780,intra
c3_drop_samat,c3_ip_zhanar_dostavka,2026-07-09,23700,intra
c3_drop_samat,c3_ip_zhanar_dostavka,2026-07-23,18300,intra
c3_drop_nazerke,c3_drop_tomiris,2026-07-02,179500,intra
c3_drop_nazerke,c3_drop_tomiris,2026-07-11,33600,intra
c3_drop_nazerke,c3_drop_ilya,2026-07-15,86000,intra
c3_drop_nazerke,c3_drop_kanat,2026-07-22,51000,intra
c3_drop_nazerke,c3_drop_ilya,2026-07-30,56000,intra
c3_drop_nazerke,c3_hozyaika_raushan,2026-07-02,45000,intra
c3_drop_nazerke,hub_grocery_3,2026-07-08,2400,intra
c3_drop_nazerke,hub_phone_shop,2026-07-16,64990,intra
c3_drop_nazerke,c3_apa_nazerke,2026-07-20,5000,intra
c3_drop_nazerke,hub_cafe_1,2026-07-25,3800,intra
c3_drop_nazerke,c3_hozyaika_raushan,2026-08-02,45000,intra
c3_drop_zhanibek,c3_drop_ilya,2026-07-05,37200,intra
c3_drop_zhanibek,c3_drop_kanat,2026-07-12,49800,intra
c3_drop_zhanibek,c3_drop_tomiris,2026-07-15,40500,intra
c3_drop_zhanibek,c3_drop_moldir,2026-07-23,48400,intra
c3_drop_zhanibek,c3_drop_tomiris,2026-07-31,159000,intra
c3_drop_zhanibek,c3_starosta_madina,2026-07-07,12000,intra
c3_drop_zhanibek,hub_gym,2026-07-08,15000,intra
c3_drop_zhanibek,hub_grocery_1,2026-07-13,2890,intra
c3_drop_zhanibek,c3_mama_zhanibek,2026-07-26,7000,intra
c3_drop_zhanibek,hub_cafe_2,2026-07-30,4300,intra
c3_drop_ilya,c3_drop_vlad,2026-06-30,79300,intra
c3_drop_ilya,c3_drop_vlad,2026-07-03,90800,intra
c3_drop_ilya,c3_sbor_bolat,2026-07-06,36000,intra
c3_drop_ilya,c3_drop_gulnaz,2026-07-11,97000,intra
c3_drop_ilya,c3_sbor_bolat,2026-07-16,25800,intra
c3_drop_ilya,c3_drop_saule,2026-07-16,83400,intra
c3_drop_ilya,c3_sbor_bolat,2026-07-25,92100,intra
c3_drop_ilya,c3_drop_gulnaz,2026-07-30,54300,intra
c3_drop_ilya,hub_landlord_4,2026-07-01,70000,intra
c3_drop_ilya,hub_cafe_1,2026-07-07,5400,intra
c3_drop_ilya,c3_mama_ilya,2026-07-12,20000,intra
c3_drop_ilya,hub_grocery_2,2026-07-19,3700,intra
c3_drop_ilya,hub_taxi_park,2026-07-26,2600,intra
c3_drop_ilya,hub_landlord_4,2026-07-31,70000,intra
c3_drop_moldir,c3_drop_saule,2026-07-03,66500,intra
c3_drop_moldir,c3_drop_gulnaz,2026-07-07,58000,intra
c3_drop_moldir,c3_sbor_kamila,2026-07-08,22200,intra
c3_drop_moldir,c3_drop_gulnaz,2026-07-11,100400,intra
c3_drop_moldir,c3_drop_ersultan,2026-07-18,112500,intra
c3_drop_moldir,c3_drop_vlad,2026-07-24,46900,intra
c3_drop_moldir,c3_drop_saule,2026-07-26,57300,intra
c3_drop_moldir,hub_beauty_salon,2026-07-05,15000,intra
c3_drop_moldir,c3_sestra_moldir,2026-07-14,10000,intra
c3_drop_moldir,hub_grocery_1,2026-07-20,4560,intra
c3_drop_moldir,hub_cafe_2,2026-07-27,3900,intra
c3_drop_askhat,c3_sbor_bolat,2026-07-04,50600,intra
c3_drop_askhat,c3_drop_vlad,2026-07-09,44600,intra
c3_drop_askhat,c3_drop_saule,2026-07-10,27300,intra
c3_drop_askhat,c3_drop_ersultan,2026-07-18,113000,intra
c3_drop_askhat,c3_drop_ilya,2026-07-25,95000,intra
c3_drop_askhat,c3_drop_ersultan,2026-07-25,89700,intra
c3_drop_askhat,c3_sbor_bolat,2026-08-01,45900,intra
c3_drop_askhat,hub_bazaar_stall_3,2026-07-12,45000,intra
c3_drop_askhat,c3_ip_zhanar_dostavka,2026-07-16,16200,intra
c3_drop_askhat,hub_grocery_2,2026-07-21,2950,intra
c3_drop_askhat,c3_mama_askhat,2026-07-28,15000,intra
c3_drop_askhat,c3_ip_zhanar_dostavka,2026-07-30,21400,intra
c3_drop_tomiris,c3_drop_ersultan,2026-07-02,174000,intra
c3_drop_tomiris,c3_drop_saule,2026-07-09,105600,intra
c3_drop_tomiris,c3_sbor_bolat,2026-07-11,32500,intra
c3_drop_tomiris,c3_sbor_bolat,2026-07-15,39300,intra
c3_drop_tomiris,c3_drop_gulnaz,2026-07-23,96200,intra
c3_drop_tomiris,c3_drop_ersultan,2026-08-01,154200,intra
c3_drop_tomiris,c3_starosta_madina,2026-07-08,12000,intra
c3_drop_tomiris,hub_grocery_4,2026-07-12,3300,intra
c3_drop_tomiris,c3_mama_tomiris,2026-07-17,6000,intra
c3_drop_tomiris,hub_beauty_salon,2026-07-24,7500,intra
c3_drop_kanat,c3_drop_vlad,2026-07-03,42300,intra
c3_drop_kanat,ext_drop_halyk_1,2026-07-10,55000,inter
c3_drop_kanat,c3_drop_ersultan,2026-07-13,48300,intra
c3_drop_kanat,c3_drop_gulnaz,2026-07-17,62500,intra
c3_drop_kanat,c3_drop_vlad,2026-07-18,72800,intra
c3_drop_kanat,c3_drop_saule,2026-07-22,49500,intra
c3_drop_kanat,c3_drop_vlad,2026-07-30,86000,intra
c3_drop_kanat,hub_pawnshop,2026-07-06,25000,intra
c3_drop_kanat,ext_bk_olimp,2026-07-14,20000,inter
c3_drop_kanat,hub_grocery_2,2026-07-19,4100,intra
c3_drop_kanat,ext_bk_olimp,2026-07-24,15000,inter
c3_drop_kanat,c3_drug_kanat,2026-07-27,8000,intra
ext_drop_halyk_1,c3_drop_ersultan,2026-07-11,53800,inter
c3_drop_vlad,c3_sbor_bolat,2026-07-01,77200,intra
c3_drop_vlad,c3_sbor_bolat,2026-07-03,88400,intra
c3_drop_vlad,c3_sbor_bolat,2026-07-03,41100,intra
c3_drop_vlad,c3_drop_miras,2026-07-10,43400,intra
c3_drop_vlad,c3_sbor_bolat,2026-07-17,78600,intra
c3_drop_vlad,c3_drop_miras,2026-07-18,70600,intra
c3_drop_vlad,c3_sbor_kamila,2026-07-24,45500,intra
c3_drop_vlad,c3_sbor_bolat,2026-07-30,83400,intra
c3_drop_vlad,hub_gym,2026-07-02,18000,intra
c3_drop_vlad,hub_cafe_2,2026-07-12,6400,intra
c3_drop_vlad,x_p2p_trader_2,2026-07-21,10000,intra
c3_drop_vlad,hub_grocery_4,2026-07-27,2800,intra
c3_drop_saule,c3_sbor_bolat,2026-07-04,64700,intra
c3_drop_saule,c3_sbor_kamila,2026-07-09,102900,intra
c3_drop_saule,c3_sbor_kamila,2026-07-11,26500,intra
c3_drop_saule,c3_drop_vlad,2026-07-16,81000,intra
c3_drop_saule,c3_sbor_bolat,2026-07-19,54300,intra
c3_drop_saule,c3_sbor_bolat,2026-07-23,48000,intra
c3_drop_saule,c3_sbor_bolat,2026-07-26,55600,intra
c3_drop_saule,c3_sbor_kamila,2026-07-29,41500,intra
c3_drop_saule,hub_landlord_2,2026-07-01,110000,intra
c3_drop_saule,hub_grocery_3,2026-07-06,7450,intra
c3_drop_saule,hub_pharmacy,2026-07-13,5320,intra
c3_drop_saule,c3_mama_saule,2026-07-20,12000,intra
c3_drop_saule,hub_grocery_3,2026-07-27,4880,intra
c3_drop_saule,hub_landlord_2,2026-07-31,110000,intra
c3_drop_ersultan,c3_drop_gulnaz,2026-07-03,168900,intra
c3_drop_ersultan,c3_sbor_bolat,2026-07-11,52400,intra
c3_drop_ersultan,c3_sbor_bolat,2026-07-13,46900,intra
c3_drop_ersultan,c3_sbor_bolat,2026-07-19,219000,intra
c3_drop_ersultan,c3_sbor_bolat,2026-07-23,36600,intra
c3_drop_ersultan,c3_sbor_bolat,2026-07-25,87000,intra
c3_drop_ersultan,c3_sbor_bolat,2026-08-01,149600,intra
c3_drop_ersultan,c3_drug_ersultan,2026-07-14,7000,intra
c3_drop_ersultan,hub_phone_shop,2026-07-20,29990,intra
c3_drop_ersultan,hub_cafe_1,2026-07-26,3500,intra
c3_drop_gulnaz,c3_sbor_kamila,2026-07-03,163500,intra
c3_drop_gulnaz,c3_sbor_bolat,2026-07-08,56300,intra
c3_drop_gulnaz,c3_sbor_bolat,2026-07-12,192000,intra
c3_drop_gulnaz,c3_sbor_kamila,2026-07-18,60600,intra
c3_drop_gulnaz,c3_sbor_bolat,2026-07-23,93300,intra
c3_drop_gulnaz,c3_sbor_kamila,2026-07-24,29400,intra
c3_drop_gulnaz,c3_sbor_bolat,2026-07-31,52700,intra
c3_drop_gulnaz,hub_grocery_1,2026-07-09,6230,intra
c3_drop_gulnaz,hub_bazaar_stall_1,2026-07-13,18000,intra
c3_drop_gulnaz,c3_mama_gulnaz,2026-07-19,25000,intra
c3_drop_gulnaz,hub_grocery_1,2026-07-28,3100,intra
c3_drop_miras,c3_sbor_bolat,2026-07-10,42100,intra
c3_drop_miras,hub_phone_shop,2026-07-20,12500,intra
c3_drop_miras,hub_cafe_1,2026-07-21,4200,intra
c3_drop_miras,c3_sbor_bolat,2026-07-24,50000,intra
c3_drop_miras,c3_verbovshik_ilyas,2026-07-27,6000,intra
c3_drop_miras,hub_grocery_2,2026-07-29,1950,intra
c3_sbor_bolat,c3_boss_kairat,2026-07-06,250000,intra
c3_sbor_bolat,c3_boss_kairat,2026-07-13,300000,intra
c3_sbor_bolat,x_p2p_trader_2,2026-07-14,120000,intra
c3_sbor_bolat,ext_other_bank_bolat,2026-07-17,90000,inter
c3_sbor_bolat,c3_boss_kairat,2026-07-20,350000,intra
c3_sbor_bolat,c3_bolat_depozit,2026-07-21,250000,intra
c3_sbor_bolat,c3_boss_kairat,2026-07-27,300000,intra
c3_sbor_bolat,c3_bolat_depozit,2026-07-28,150000,intra
c3_sbor_bolat,ext_other_bank_bolat,2026-07-29,180000,inter
c3_sbor_bolat,c3_boss_kairat,2026-07-31,150000,intra
c3_sbor_bolat,c3_boss_kairat,2026-08-03,200000,intra
c3_sbor_bolat,hub_landlord_2,2026-07-01,150000,intra
c3_sbor_bolat,hub_cafe_1,2026-07-04,8900,intra
c3_sbor_bolat,c3_zhena_bolat,2026-07-07,150000,intra
c3_sbor_bolat,hub_auto_parts,2026-07-11,42000,intra
c3_sbor_bolat,hub_grocery_4,2026-07-12,15600,intra
c3_sbor_bolat,hub_taxi_park,2026-07-15,3400,intra
c3_sbor_bolat,hub_cafe_1,2026-07-18,12400,intra
c3_sbor_bolat,c3_zhena_bolat,2026-07-22,100000,intra
c3_sbor_bolat,hub_grocery_4,2026-07-26,9870,intra
c3_sbor_bolat,hub_landlord_2,2026-07-31,150000,intra
c3_sbor_kamila,hub_gym,2026-07-03,25000,intra
c3_sbor_kamila,c3_boss_kairat,2026-07-05,150000,intra
c3_sbor_kamila,hub_beauty_salon,2026-07-10,18000,intra
c3_sbor_kamila,c3_boss_kairat,2026-07-12,120000,intra
c3_sbor_kamila,hub_cafe_2,2026-07-14,7600,intra
c3_sbor_kamila,c3_mama_kamila,2026-07-18,20000,intra
c3_sbor_kamila,x_p2p_trader_2,2026-07-20,80000,intra
c3_sbor_kamila,hub_phone_shop,2026-07-22,12990,intra
c3_sbor_kamila,c3_boss_kairat,2026-07-26,60000,intra
c3_sbor_kamila,hub_beauty_salon,2026-07-28,22000,intra
c3_sbor_kamila,hub_grocery_1,2026-07-30,4270,intra
ext_boss_card_other_bank,c3_boss_kairat,2026-07-10,500000,inter
ext_boss_card_other_bank,c3_boss_kairat,2026-07-29,800000,inter
c3_boss_kairat,hub_landlord_1,2026-07-01,350000,intra
c3_boss_kairat,hub_gym,2026-07-02,30000,intra
c3_boss_kairat,c3_verbovshik_ilyas,2026-07-03,150000,intra
c3_boss_kairat,c3_kassa_zp,2026-07-06,280000,intra
c3_boss_kairat,x_p2p_trader_2,2026-07-07,180000,intra
c3_boss_kairat,c3_kairat_depozit,2026-07-08,150000,intra
c3_boss_kairat,hub_cafe_1,2026-07-09,23500,intra
c3_boss_kairat,c3_mama_kairat,2026-07-10,100000,intra
c3_boss_kairat,c3_kassa_zp,2026-07-13,310000,intra
c3_boss_kairat,x_p2p_trader_2,2026-07-14,220000,intra
c3_boss_kairat,ext_freedom_broker,2026-07-15,150000,inter
c3_boss_kairat,hub_furniture,2026-07-16,385000,intra
c3_boss_kairat,c3_kassa_zp,2026-07-20,295000,intra
c3_boss_kairat,c3_verbovshik_ilyas,2026-07-21,75000,intra
c3_boss_kairat,c3_kairat_depozit,2026-07-21,250000,intra
c3_boss_kairat,hub_cafe_2,2026-07-23,17800,intra
c3_boss_kairat,c3_kassa_zp,2026-07-27,300000,intra
c3_boss_kairat,c3_verbovshik_ilyas,2026-07-28,85000,intra
c3_boss_kairat,x_p2p_trader_2,2026-07-28,260000,intra
c3_boss_kairat,hub_car_dealer_used,2026-07-30,1200000,intra
c3_boss_kairat,c3_kairat_depozit,2026-08-04,300000,intra
c3_boss_kairat,hub_landlord_1,2026-08-01,350000,intra
c3_kairat_depozit,ext_deposit_other_bank,2026-08-20,500000,inter
c3_kassa_zp,c3_klad_arman,2026-07-07,45000,intra
c3_kassa_zp,c3_klad_madi,2026-07-07,35000,intra
c3_kassa_zp,c3_klad_erlan,2026-07-07,28000,intra
c3_kassa_zp,c3_kurier_timur,2026-07-07,60000,intra
c3_kassa_zp,c3_klad_yerbol,2026-07-07,26000,intra
c3_kassa_zp,c3_klad_askar,2026-07-08,40000,intra
c3_kassa_zp,c3_klad_nurlan,2026-07-08,25000,intra
c3_kassa_zp,c3_klad_sanzhar,2026-07-08,18000,intra
c3_kassa_zp,c3_klad_aibek,2026-07-08,15000,intra
c3_kassa_zp,c3_klad_arman,2026-07-14,52000,intra
c3_kassa_zp,c3_klad_madi,2026-07-14,38500,intra
c3_kassa_zp,c3_klad_erlan,2026-07-14,33000,intra
c3_kassa_zp,c3_kurier_timur,2026-07-14,75000,intra
c3_kassa_zp,c3_klad_askar,2026-07-15,42000,intra
c3_kassa_zp,c3_klad_dauren,2026-07-15,20000,intra
c3_kassa_zp,c3_klad_nurlan,2026-07-15,27000,intra
c3_kassa_zp,c3_klad_yerbol,2026-07-15,21500,intra
c3_kassa_zp,c3_klad_arman,2026-07-21,48000,intra
c3_kassa_zp,c3_klad_madi,2026-07-21,31000,intra
c3_kassa_zp,c3_klad_erlan,2026-07-21,30000,intra
c3_kassa_zp,c3_kurier_timur,2026-07-21,70000,intra
c3_kassa_zp,c3_klad_sanzhar,2026-07-22,22000,intra
c3_kassa_zp,c3_klad_askar,2026-07-22,44000,intra
c3_kassa_zp,c3_klad_nurlan,2026-07-22,30000,intra
c3_kassa_zp,c3_klad_aibek,2026-07-22,12000,intra
