gid,handle,functional_role,involvement,archetype,note
100000001989891100,c3_klad_yerbol,peripheral,criminal,закладчик,сливы на дропов и помощь матери
100000004507229100,c3_klad_askar,peripheral,criminal,старший закладчик,сливы на дропов и иногда прямо на второй слой; платит аренду квартиры
100000005612452100,c3_kurier_ruslan,peripheral,criminal,курьер,оплату получает наличными; по счёту видны только семья и покупка машины
100000003506403100,c3_drop_zhanna,transit,criminal,дроп (безработная),карта арендована; принимает от закладчиков и пересылает на второй слой за вычетом 2-3 процентов
100000004087179100,c4_driver_askar,peripheral,criminal,водитель-перевозчик,возит партии на юг; получает от логиста; сдаёт наличную выручку южному координатору; семья и быт
100000007526108100,c4_driver_nurbol,peripheral,criminal,водитель-перевозчик,возит партии на север; сдаёт наличку северному координатору; мать и быт
100000008559225100,c4_driver_kanat,peripheral,criminal,водитель-перевозчик,получает от логиста; возвращает остаток на топливо; быт; немного USDT
100000002939691100,c4_driver_samat,peripheral,criminal,водитель-перевозчик,подрабатывает в такси; сдаёт наличку южному координатору
100000004738940100,c4_driver_ilyas,peripheral,criminal,водитель-перевозчик,только получает от логиста; исходящие мелкие или в другой банк (seed без рёбер)
100000003673338100,c5_zak_ruslan,peripheral,criminal,закладчик,получает зарплату от агентства; аренда и мать; вернул излишек агентству
100000001112989100,c5_zak_aidos,peripheral,criminal,закладчик,получает от агентства; передаёт часть другу-курьеру Ерлану; девушка и телефон
100000002560634100,c5_zak_miras,peripheral,criminal,закладчик,получает от агентства и сдаёт наличную выручку клиентов в кассу
100000001039012100,c5_zak_dias,peripheral,criminal,закладчик,получает от агентства; помогает матери
100000006905416100,c5_zak_arman,peripheral,criminal,закладчик,получает от агентства; дважды вернул переплату агентству; покупает USDT
100000006199136100,c5_zak_temirlan,peripheral,criminal,закладчик,получает от агентства; помогает брату
100000004513432100,c5_kur_alibek,peripheral,criminal,курьер,получает от агентства; аренда и переводы жене
100000006033856100,c5_kur_sanzhar,peripheral,criminal,курьер,получает от агентства и сдаёт выручку в кассу
100000005043657100,c5_kur_bekzat,peripheral,criminal,курьер,получает от агентства; исходящие только мелкие и межбанк матери
100000007952658100,c5_zak_madina,peripheral,criminal,закладчица,получает от агентства; аренда и мать; одалживает подруге-закладчице
100000007391716100,c5_zak_kamila,peripheral,criminal,закладчица,получает от агентства; мелкие траты и подруга
100000000433698100,c5_kur_nursultan,peripheral,criminal,курьер,получает от агентства; мать и аренда; вернул излишек
100000003446634100,c5_zak_islam,peripheral,criminal,закладчик,получает от старшего курьера (не из веера); сдаёт выручку в кассу
100000005015436100,c5_zak_ayan,peripheral,criminal,закладчик,получает от старшего курьера; исходящих ≥5000 внутри банка нет
100000004740250100,c5_kur_daniyar,peripheral,criminal,курьер,получает от старшего курьера; только получатель
100000008949785100,c5_zak_yerzhan,peripheral,criminal,закладчик,получает от старшего курьера; вернул ему излишек; аренда
100000003679170100,c6_seed_dana,peripheral,criminal,студентка-дроп,даёт карту в пользование: принимает оплаты от покупателей и раз в неделю сбрасывает Ерлану; в остальном аренда в складчину и деньги от отца
100000007673821100,c6_seed_erbol,peripheral,criminal,студент-дроп,продал доступ к карте; входящие от покупателей уходят Ерлану; стипендиальная мелочь
100000005990650100,c6_seed_timur,peripheral,criminal,грузчик,работает в бригаде Марата; по пятницам переводит знакомому Руслану выручку за клады
100000006679790100,c6_seed_nurlan,peripheral,criminal,курьер доставки,подрабатывает закладчиком; дважды сдал деньги через Руслана; делит бензин с напарником Бекой
100000003762858100,c6_seed_bakyt,peripheral,legit,таксист,в списке по ошибке — возил курьеров как пассажиров; аренда машины в таксопарке и семья
100000003780877100,c6_seed_gulnara,peripheral,legit,продавщица продуктового,обычная жизнь: мама бабушка сестра взнос на той двоюродного брата
100000005175264100,c6_seed_daulet,peripheral,criminal,грузчик,рабочий у бригадира Марата; эпизодически делал закладки за наличные; безналичные переводы только семейные
100000003525978100,c6_seed_zhanna,peripheral,legit,медсестра,в июле только мелочь и переводы на свою карту другого банка — в выгрузке без рёбер
100000000054045100,c6_seed_arman,peripheral,criminal,таксист,возил закладчиков; в июле только получает долг от Бакыта; свои крупные переводы в июне и августе
100000003848037100,c6_seed_kamila,peripheral,criminal,продавщица на рынке,дроп: всё полученное сбрасывает на карту другого банка — в выгрузке без рёбер
100000002040566100,c6_seed_madina,peripheral,legit,студентка,соседка Даны по квартире; аренда кафе на день рождения курсы
100000007860890100,c6_seed_askar,peripheral,criminal,грузчик,в бригаде Марата; исходящие только мелкие и межбанк — в выгрузке только получатель
100000005380137100,c6_seed_aliya,peripheral,legit,кассир,сестра Гульнары; аренда мама взнос на той
100000007932951100,c6_seed_sanzhar,peripheral,criminal,таксист,возил курьеров и однажды сдал выручку Бекзату напрямую; остальное — аренда машины и мама
100000003057645100,c1_op_tima,coordinator,criminal,оператор магазина,"получает выручку с карт-сборщиков, раз в неделю (обычно в воскресенье, часть задерживает до понедельника-вторника) платит закладчикам веером, платит оптовику и выводит через P2P"
100000004572154100,c1_op_reserve_kanat,transit,criminal,резервная карта оператора,"карта двоюродного брата оператора: принимает с дропов когда у оператора лимит, гонит в P2P и за машину, оставляет себе на жизнь"
100000005402976100,hub_cafe_1,consolidator,legit,кафе,семейное кафе Айдоса; повара и официанты получают зарплату два раза в месяц
100000007108006100,hub_bazaar_stall_3,consolidator,legit,точка на рынке (телефоны б/у),Тимур скупает и перепродаёт б/у телефоны; иногда покупает у сомнительного Вадима не зная о краже
100000001237525100,c1_drop_askar,transit,criminal,карта-сборщик,"дроп-карта 26 июня - 6 июля; принимает выручку закладчиков и опт, в тот же или на следующий день гонит оператору"
100000006983463100,c1_drop_nazerke,transit,criminal,карта-сборщик,дроп-карта 6-15 июля; переводит оператору и резерву за 1-2 дня
100000000371561100,c1_drop_yerzhan,transit,criminal,карта-сборщик,дроп-карта 13-22 июля; с неё же заплатил свою аренду
100000003291764100,c1_drop_zarina,transit,criminal,карта-сборщик,"дроп-карта 16-26 июля; держала деньги по 3-4 дня и присвоила часть (телефон и мебель), после чего карту бросили"
100000008002526100,c1_drop_temirlan,transit,criminal,карта-сборщик,дроп-карта 22-31 июля; быстрый пропуск оператору в день поступления
100000006659834100,ext_buyer_106,undeclared,undeclared,,
100000006395487100,c1_aliya_flatmate_zhanar,peripheral,legit,соседка по квартире,офисная работа; собирает половину аренды с Алии и платит хозяйке
100000002147906100,c1_aliya_mother_roza,peripheral,legit,мать закладчицы,"пенсионерка, продукты, помогает сестре"
100000000099491100,hub_beauty_salon,consolidator,legit,салон красоты,салон Алии; мастерам процент от выручки каждую неделю
100000008345119100,hub_grocery_2,consolidator,legit,продуктовый у дома,магазин Бакыта в спальном районе; выручка уходит на мясо молочку и зарплату продавщицы
100000001728319100,c1_taxi_driver_nurlan,consolidator,legit,таксист,"частный таксист: за поездки платят многие клиенты (в том числе закладчики), платит аренду машины таксопарку"
100000004491792100,c1_dias_mother_saule,peripheral,legit,мать закладчика,"учитель, помогает сестре"
100000006472207100,c1_dias_friend_akzhol,peripheral,legit,друг закладчика,"одолжил Диасу, получил долг назад"
100000000082243100,hub_phone_shop,consolidator,legit,магазин телефонов,Ержан продаёт телефоны и аксессуары в ТЦ; платит дистрибьютору и аренду ТЦ
100000007567124100,c1_drop_aruzhan,transit,criminal,карта-сборщик,дроп-карта с 27 июля по начало августа
100000004568070100,hub_landlord_3,terminal,legit,арендодатель (комнаты студентам),Лариса сдаёт дом с комнатами студентам и одиночкам; тратит на коммуналку аптеку и внука
100000005300922100,c1_erlan_brother_bolat,distributor,legit,владелец автомойки,легальный работодатель: еженедельно платит зарплату мойщикам веером
100000008836225100,hub_auto_parts,consolidator,legit,автозапчасти и СТО,Канат держит СТО; клиенты таксопарк перекуп и частники
100000003838447100,hub_grocery_4,consolidator,legit,продуктовый у дома,маленький магазин Нурлана возле школы; часть товара у оптовика
100000002557425100,c1_bekzat_wife_aigerim,peripheral,legit,жена закладчика,"ведёт хозяйство, садик, кредит, помогает маме"
100000007098066100,hub_car_dealer_used,transit,legit,перекуп авто,деньги покупателя за 1-2 дня уходят продавцу машины; оседает маржа; легальный двойник транзита
100000001434656100,hub_cafe_2,consolidator,legit,донерная,донерная Серика; мясо и лаваш у поставщиков; зарплата раз в неделю
100000001539005100,c1_dana_sister_zhuldyz,peripheral,legit,сестра закладчицы,курсы
100000002765499100,c1_sanzhar_father_yerbol,peripheral,legit,отец закладчика,"строитель, отдаёт долг брату"
100000002296261100,c1_curator_marat,distributor,criminal,куратор закладчиков,"получает от оператора на расходники, берёт штрафы, раздаёт премии закладчикам, покупает им телефоны"
100000002855030100,c1_arman_friend_yerlan,peripheral,legit,друг закладчика,"занял и вернул, помогает маме"
100000004776758100,hub_gym,consolidator,legit,фитнес-клуб,абонементы от многих клиентов; тренерам процент раз в месяц
100000006398111100,c1_timur_mother_lyazzat,peripheral,legit,мать закладчика,"аренда, помогает дочери"
100000001239537100,x_p2p_trader_1,transit,criminal,свой обменник сети,P2P-трейдер USDT который сознательно обслуживает сеть; быстрый оборот; платит продавцам USDT и выводит тенге жене бенефициара; есть и легальные клиенты
100000006268973100,hub_pawnshop,distributor,legit,ломбард,выдаёт займы под залог многим людям; изредка покупает у Вадима технику не зная что она краденая
100000002740973100,hub_grocery_3,consolidator,legit,продуктовый у дома,круглосуточный магазин Светланы; овощи берёт на рынке у точки Рустама
100000003818116100,c1_nursultan_brother_azamat,peripheral,legit,брат закладчика,"школьник, подготовка к ЕНТ"
100000006862152100,hub_landlord_4,terminal,legit,арендодатель (удалённый),Серик сдаёт несколько квартир и комнат через сестру; копит и в июле покупает машину у перекупа; немного USDT
100000006679078100,c1_ruslan_gf_diana,peripheral,legit,девушка закладчика,"салон, помогает маме"
100000004142477100,c1_zk_vlad,peripheral,criminal,закладчик,сдаёт выручку через старшего Руслана
100000007321299100,hub_landlord_1,consolidator,legit,арендодатель (пенсионер),Бахытжан-ага сдаёт несколько квартир и комнат многим жильцам; деньги уходят детям на кредит и ремонт
100000007595943100,c1_zhanibek_cousin_nurik,peripheral,legit,двоюродный брат,рынок
100000003411540100,c2_kanat_brother,transit,criminal,брат-транзитёр,принимает выручку с карты Даны и курьеров и за 1-2 дня переводит Серику; оформил на себя машину брата
100000005855037100,c2_dana_mother_lyazzat,peripheral,legit,мать дропа-торговка,держит точку на рынке: аренда места и закуп у оптовика
100000007564399100,hub_bazaar_stall_1,consolidator,legit,точка на рынке (одежда),Зульфия продаёт одежду; платит карго из Китая и аренду места рынку
100000008974917100,c2_serik_coord,coordinator,criminal,координатор-торговец,собирает выручку с дропов и курьеров и карт других банков; платит курьерам и x_wholesaler; параллельно легальная точка бытовой химии на рынке (смешанный счёт)
100000007105335100,x_p2p_trader_2,transit,legit,P2P-мерчант,обычный P2P-трейдер USDT с десятками легальных клиентов (веер 60+ получателей); сеть пользуется им как все и он не в курсе
100000003886942100,c2_bekzat_roommate_adil,peripheral,legit,сосед по квартире,делит аренду с Бекзатом
100000003962898100,c2_daulet_mother_bibigul,peripheral,legit,мать курьера,получает от сына; продукты и аптека
100000003305078100,c2_daulet_gf_aruzhan,peripheral,legit,девушка курьера,получает подарки; салон и кафе
100000002948348100,c2_yerbol_nurzhan_brother,peripheral,legit,брат курьера,аренда и хозяйство
100000007551446100,c2_ernar_mother_ainur,peripheral,legit,мать курьера-торговка,держит точку на рынке: аренда места и закуп у оптовика
100000007747705100,hub_tutor_center,consolidator,legit,учебный центр,подготовка к ЕНТ и английский; оплата от родителей
100000002446537100,c3_drop_aruzhan,transit,criminal,дроп (студентка),первый слой: принимает от закладчиков и за 0-1 день пересылает дальше минус комиссия; живёт на деньги мамы
100000004288744100,c3_drop_beka,transit,criminal,дроп (безработный),первый слой транзита; ставки на спорт и ремонт машины
100000007364907100,c3_drop_nazerke,transit,criminal,дроп (студентка),первый слой; с комиссий купила телефон; снимает комнату
100000002674754100,c3_drop_samat,transit,criminal,дроп (курьер доставки),первый слой транзита; параллельно легально работает курьером доставки и получает от ИП зарплату
100000002087466100,c3_drop_dana,transit,criminal,дроп (студентка),первый слой; однажды держала деньги 3 дня; снимает комнату
100000007341438100,c3_sbor_bolat,consolidator,criminal,финальный сборщик,копит от дропов последнего слоя и курьера; крупно отдаёт боссу на свой депозит в P2P и межбанком
100000004066496100,hub_taxi_park,coordinator,legit,таксопарк,собирает аренду машин с водителей и раз в неделю выплачивает им выручку агрегатора; легальный двойник координатора
100000004294529100,c3_mama_arman,peripheral,legit,мать закладчика,получает помощь от сына; помогает дочери
100000007401013100,c3_drop_zhanibek,transit,criminal,дроп (студент),первый слой транзита
100000008692664100,c3_drug_madi,peripheral,legit,друг закладчика,занял и вернул
100000008883429100,hub_grocery_1,consolidator,legit,продуктовый у дома,магазин Гульнары собирает оплату покупателей и платит поставщикам молока хлеба и напитков
100000000797853100,c3_zhena_timur,peripheral,legit,жена курьера,бытовые траты семьи
100000008906540100,c3_mama_sanzhar,peripheral,legit,мать закладчика,бытовые траты
100000008916795100,c3_mama_yerbol,peripheral,legit,мать закладчика,бытовые траты
100000007534124100,c3_drop_moldir,transit,criminal,дроп (студентка),второй слой транзита; сестра переводит легальные деньги
100000006875679100,c3_zhena_ruslan,peripheral,legit,жена курьера,бытовые траты и предоплата тоя
100000002443129100,c3_drop_kanat,transit,criminal,дроп (безработный),второй слой; один раз прогнал через карту другого банка; игрок в букмекерах
100000004999557100,c3_drop_askhat,transit,criminal,дроп (курьер доставки),второй слой; легальная зарплата от ИП доставки маскирует транзит
100000008981578100,c3_mama_zhanna,peripheral,legit,мать дропа,бытовые траты
100000001586933100,c4_askar_wife_aliya,peripheral,legit,жена водителя,воспитатель детсада; продукты и кружки детям
100000000596781100,c4_coord_bekzat,coordinator,criminal,региональный координатор (юг),собирает выручку двух дилеров и водителей; платит оптовику; выводит через дропа в P2P; займ оптовика; покупает машину
100000008925245100,c4_mechanic_bolat,consolidator,legit,СТО,легальный автосервис: собирает оплату от многих клиентов включая водителей сети; платит аренду бокса и запчасти
100000002908922100,c4_nurbol_mother_raushan,peripheral,legit,мать водителя,пенсионерка; коммуналка и аптека
100000002942749100,c4_coord_ruslan,coordinator,criminal,региональный координатор (север),собирает выручку двух дилеров и курьера; платит оптовику напрямую и через дропа; берёт и возвращает займы оптовика; связан с южным координатором
100000006159613100,c4_logist_timur,distributor,criminal,начальник логистики,получает от оптовика и раздаёт водителям-перевозчикам; аренда газелей; топливо; ремонт
100000001652584100,ext_dosym_samat,undeclared,undeclared,,
100000000437389100,c5_mom_ruslan,peripheral,legit,мать,получает помощь от сына; аптека и продукты; дочери
100000003370946100,c5_agency_kadry,distributor,criminal,кадровое агентство-прокладка,ТОО на подставное лицо; веером платит зарплату курьерам и фиктивным и реальным сотрудникам 2-4 раза в месяц
100000007499577100,c5_sis_ruslan,peripheral,legit,сестра,студентка; репетитор и салон
100000001823686100,c5_kur_yerlan,peripheral,criminal,курьер,получает от агентства и от друга Айдоса; аренда и мать
100000005185741100,c5_gf_aidos,peripheral,legit,девушка курьера,получает подарки деньгами
100000002083473100,hub_landlord_2,terminal,legit,арендодатель (инвестор),Алмас сдаёт несколько квартир купленных в ипотеку; аренда в основном уходит в ипотеку и на ремонт
100000000156824100,c5_kassa_nurlan,consolidator,criminal,касса сети,собирает выручку с дроп-карт и сдачу закладчиков; платит оптовику и бухгалтеру-дропу
100000008409231100,c5_mom_dias,peripheral,legit,мать,получает помощь от сына
100000006886360100,c5_bro_temirlan,peripheral,legit,брат,получает от брата; телефон
100000004700330100,c5_wife_alibek,peripheral,legit,жена,хозяйство и репетитор ребёнку
100000005855274100,c5_kur_olzhas,peripheral,criminal,курьер,получает от агентства и возвраты долгов от Санжара
100000001803643100,c5_mom_madina,peripheral,legit,мать,получает от дочери; продукты
100000004205332100,hub_pharmacy,consolidator,legit,аптека,аптека Раушан; крупные платежи фармдистрибьютору
100000005015951100,c5_friend_kamila,peripheral,legit,подруга,мелкий займ
100000007767920100,c5_mom_nursultan,peripheral,legit,мать,получает от сына
100000000012703100,c5_kur_akhmet,peripheral,criminal,курьер,получает от старшего курьера и от Ислама
100000003928654100,c5_senior_marat,distributor,criminal,старший курьер,получает крупные суммы от агентства и раздаёт своей шестёрке курьеров; получает премию от организатора
100000002913058100,c5_gf_yerzhan,peripheral,legit,девушка курьера,салон
100000005348341100,c6_room_tomiris,transit,legit,соседка-съёмщица,собирает доли аренды с Даны и Мадины и платит хозяйке — легальный пропускной счёт
100000001203913100,c6_tr_erlan,transit,criminal,транзитёр дропов,принимает с карт студентов и в тот же день покупает USDT у P2P-трейдера
100000008348753100,c6_dana_friend_saya,peripheral,legit,подруга Даны,получила подарки на день рождения
100000003181163100,c6_cafe_dastarkhan,consolidator,legit,семейное кафе,принимает оплату от многих гостей и заказов; платит поставщикам персоналу аренду и владельцу — легальный сборщик
100000001905940100,c6_fam_ajee,terminal,legit,бабушка-общак,дети и внуки каждый месяц скидываются ей; деньги лежат — тратит только мелочь в аптеке и магазине
100000002850884100,c6_fam_nursultan,peripheral,legit,брат Даны,работает; скидывается на подарок маме; взнос на той
100000006021865100,c6_erbol_bro_ansar,peripheral,legit,младший брат студента,карманные деньги
100000005505934100,c6_tr_ruslan,transit,criminal,знакомый-транзитёр,принимает от Тимура и Нурлана и за 0–1 день переправляет Бекзату; оставляет себе 5–10%
100000002791971100,c6_timur_mama,peripheral,legit,мать грузчика,получает помощь от сына
100000000443731100,c6_brig_marat,distributor,legit,бригадир,получает оплату за подряд и раздаёт веером недельную зарплату 23 рабочим — легальный распределитель
100000001792034100,c6_cr_beka,peripheral,criminal,курьер-закладчик,напарник Нурлана; изредка сдаёт Бекзату
100000008300619100,c6_nurlan_girl_aida,peripheral,legit,девушка курьера,подарки и совместные траты
100000001691319100,c6_bakyt_wife_ainur,peripheral,legit,жена таксиста,хозяйство дети
100000000750404100,c6_bakyt_friend_nurzhan,peripheral,legit,друг таксиста,занял 50000 на ремонт машины и вернул частями
100000007000121100,c6_bakyt_mama,peripheral,legit,мать таксиста,получает помощь от сына и невестки
100000004656564100,c6_fam_aigul,peripheral,legit,мать Гульнары и Алии,дочь бабушки; взнос на той сестре; помогает тёте
100000002389527100,c6_gul_colleague_zarina,peripheral,legit,коллега Гульнары,заняла 40000 и вернула
100000004812736100,c6_fam_zhanar,consolidator,legit,организатор тоя,собирает взносы с 18 родственников на свадьбу сына и платит тойхане тамаде сватам — легальный сборщик
100000001723651100,c6_fam_nurbol,peripheral,legit,отец Даулета,сын бабушки; займ брату; возврат долга Кайрату
100000004877275100,c6_fam_dias,peripheral,legit,двоюродный брат Даулета,взнос на той
100000008739037100,c6_fam_asel,peripheral,legit,сестра Даулета,взнос на той бабушке
100000003812402100,c6_fam_togzhan,peripheral,legit,двоюродная сестра Алии,взнос на той
100000002270503100,c6_sanzhar_mama,peripheral,legit,мать таксиста,получает помощь от сына
100000007730419100,c6_cr_bekzat,consolidator,criminal,сборщик выручки,собирает с транзитёра курьеров и таксиста; сдаёт куратору и меняет в USDT у P2P
100000002262536100,c1_zk_aibek,peripheral,criminal,закладчик,"сдаёт выручку на дроп-карты, получает зарплату от оператора"
100000002704409100,c1_zk_kairat,peripheral,criminal,закладчик,"сдаёт выручку на дроп-карты, снимает комнату"
100000006878247100,c1_zk_miras,peripheral,criminal,закладчик,сдаёт выручку на дроп-карты
100000002870113100,c1_zk_olzhas,peripheral,criminal,закладчик,"сдаёт выручку на дроп-карты, помогает отцу"
100000002330590100,c1_zk_ayan,peripheral,criminal,закладчик,сдаёт выручку на дроп-карты
100000000996094100,c1_zk_daniyar,peripheral,criminal,закладчик,"сдаёт выручку на дроп-карты, платит аренду"
100000004656613100,c1_zk_samat,peripheral,criminal,закладчик,часть недель сдаёт через старшего Руслана
100000007194775100,c1_zk_akbota,peripheral,criminal,закладчик,сдаёт выручку на дроп-карты
100000001582542100,c1_zk_islam,peripheral,criminal,закладчик,сдаёт выручку на дроп-карты
100000003838621100,c1_zk_ilyas,peripheral,criminal,закладчик,сдаёт выручку через старшего Руслана
100000008622610100,c1_zk_adil,peripheral,criminal,закладчик,"ушёл в середине июля, последнюю выручку не сдал и потратил на телефон"
100000008442856100,c1_fasovshik_gena,peripheral,criminal,фасовщик,получает недельную оплату от оператора и тратит на жизнь
100000000665792100,x_wholesaler,coordinator,criminal,оптовый поставщик,принимает оплату за товар от ячеек и региональных координаторов; платит бенефициару и логистике; даёт координаторам займы которые возвращаются; выводит через P2P
100000000225878100,c1_op_gf_kamila,terminal,legit,девушка оператора,"получает крупные суммы от оператора и тратит на салон, мебель, одежду"
100000001806661100,c1_op_mother_gulnara,terminal,legit,мать оператора,"получает от сына деньги на жизнь, тратит на продукты и сестре"
100000004431515100,hub_furniture,consolidator,legit,мебельный магазин,мебель на заказ; предоплаты клиентов; оплата ЛДСП и столярам
100000003561166100,c1_kanat_wife_zhibek,peripheral,legit,жена номинала резервной карты,продукты и аптека
100000005279246100,h_supplier_meat,consolidator,legit,мясной цех,мясо для кафе донерной магазина и тойханы
100000003676482100,h_supplier_drinks,consolidator,legit,дистрибьютор напитков,собирает с магазинов кафе и тойханы
100000002656330100,hub_bazaar_stall_2,consolidator,legit,точка на рынке (овощи),Рустам берёт овощи у фермеров и продаёт магазинам и кафе
100000001779799100,h_supplier_milk,consolidator,legit,дистрибьютор молочки,собирает оплату с нескольких магазинов и кафе
100000005945886100,h_cook_saule,peripheral,legit,повар,кафе Айдоса; платит сыну
100000000609543100,h_cook_marat,peripheral,legit,повар,кафе Айдоса
100000005596982100,h_waiter_diana,peripheral,legit,официантка,кафе Айдоса
100000006493280100,h_waiter_alibek,peripheral,legit,официант,кафе Айдоса; студент
100000000398785100,h_premises_kuat,consolidator,legit,владелец коммерческих помещений,получает аренду от магазина кафе и аптеки
100000005227188100,h_owner_aidos,terminal,legit,владелец кафе,вывод прибыли кафе; жена тратит на дом
100000008854217100,ext_refund_cust_cafe1,undeclared,undeclared,,
100000007127282100,h_bazaar_admin,consolidator,legit,администрация рынка,аренда мест от точек на рынке
100000005129129100,h_master_arman,peripheral,legit,мастер по ремонту телефонов,получает за ремонт от точки Тимура
100000001122110100,h_fence_vadim,terminal,criminal,скупщик краденого,продаёт краденые телефоны и золото точке б/у телефонов и ломбарду; деньги снимает
100000005751023100,ext_phone_seller_private,undeclared,undeclared,,
100000008783709100,h_supplier_electronics,consolidator,legit,дистрибьютор электроники,поставляет телефоны и аксессуары
100000008753933100,ext_phone_seller_private_3,undeclared,undeclared,,
100000006051233100,h_owner_timur,peripheral,legit,владелец точки б/у телефонов,личная карта
100000001018543100,ext_refund_cust_stall3,undeclared,undeclared,,
100000008733206100,c1_zhanar_bf_daulet,peripheral,legit,парень соседки,"спортзал, помогает брату"
100000002470843100,c1_roza_sister_gulzhan,peripheral,legit,тётя,"готовит той, помогает сыну"
100000004537606100,h_mall_tsum,consolidator,legit,управляющая компания ТЦ,аренда от магазина телефонов фитнеса салона и учебного центра
100000001863411100,h_master_nails_zarina,peripheral,legit,мастер маникюра,процент от салона каждую неделю
100000006955820100,h_master_hair_dinara,peripheral,legit,парикмахер,процент от салона каждую неделю
100000001317807100,h_master_brows_moldir,peripheral,legit,бровист,процент от салона
100000001547482100,h_supplier_cosmetics,terminal,legit,поставщик косметики,гель-лаки и краски для салона
100000000332148100,h_owner_aliya,terminal,legit,владелица салона,личная карта
100000005625641100,h_seller_zhanna,peripheral,legit,продавщица,зарплата в магазине 2
100000004374960100,h_owner_bakyt,terminal,legit,владелец магазина,личная карта владельца второго магазина
100000007093687100,c1_nurlan_wife_asem,peripheral,legit,жена таксиста,"продукты, помогает маме"
100000001063189100,c1_saule_sister_raushan,peripheral,legit,тётя,платит за репетиторов сына
100000005665682100,c1_akzhol_sister_aruna,peripheral,legit,сестра друга,салон и продукты
100000002446078100,h_seller_nurbol,peripheral,legit,продавец телефонов,зарплата плюс процент
