rank,gid,role,priority_score,why,role_score,tier,role_stability,weak_seed_link,is_seed,depth,cluster_id,in_deg,out_deg,in_sum,out_sum,seed_money_in,seed_share,n_seed_links,in_cycle3,n_mutual
33,100000008748914100,distributor,0.6775,"веерная рассылка: 13 получателей, отправил 4.5 млн; видимый вход 180 тыс, источник вне выгрузки; связан с 2 seed; взаимные переводы с 1. Приоритет: верхние 10% по seed-деньгам (~97 тыс), крупный оборот (4.5 млн). Роль устойчива в 100% вариантов порогов. Кластер 3. Требует проверки.",0.53,B,1.0,False,False,1,3,2,13,180000.0,4471847.0,96840.7297997856,0.02165564470335984,2,False,1
34,100000007442518100,transit,0.6771,"признаки транзита: получил 510 тыс, отправил 4.4 млн; 90% отправлено в течение 2 дней после входа; связан с 1 seed; участвует в круговых потоках (3+ участника). Приоритет: крупный оборот (4.4 млн). Роль устойчива в 67% вариантов порогов. Кластер 35. Роль — гипотеза по косвенным признакам. Требует проверки.",0.683,C,0.6666666666666666,False,False,1,35,5,9,510000.0,4419999.0,7293.080515081625,0.0016500185893891888,1,True,0
35,100000003635170100,transit,0.6722,"признаки транзита: получил 268 тыс, отправил 254 тыс (94%); 100% отправлено в течение 2 дней после входа; связан с 1 seed; взаимные переводы с 2. Приоритет: совокупность структурных признаков. Роль устойчива в 100% вариантов порогов. Кластер 40. Требует проверки.",0.822,B,1.0,False,False,1,40,3,4,268500.0,253500.0,51616.04284863634,0.19223852085153198,1,False,2
36,100000008637537100,transit,0.6714,"[seed] признаки транзита: получил 620 тыс, отправил 2.4 млн; 100% отправлено в течение 2 дней после входа; связан ещё с 2 seed; участвует в круговых потоках (3+ участника); доля seed-денег ~100%. Приоритет: верхние 10% по seed-деньгам (~615 тыс), крупный оборот (2.4 млн). Роль устойчива в 100% вариантов порогов. Кластер 48. Уже известен (seed). Роль — гипотеза по косвенным признакам. Требует проверки.",0.8,C,1.0,False,True,0,48,3,3,619890.0,2351495.0,614599.8752648891,1.0,2,True,2
37,100000004759121100,consolidator,0.6492,"признаки консолидации: 6 плательщиков (из них seed: 1), получил 710 тыс; отдал дальше 44%; связан с 1 seed; взаимные переводы с 1. Приоритет: совокупность структурных признаков. Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки.",0.518,B,1.0,False,False,1,2,6,2,710000.0,312000.0,68622.40680448596,0.09665127718941685,1,False,1
38,100000001732159100,transit,0.6453,"[seed] признаки транзита: получил 2.4 млн, отправил 1.5 млн; 91% отправлено в течение 2 дней после входа; связан ещё с 2 seed; участвует в круговых потоках (3+ участника); доля seed-денег ~100%. Приоритет: верхние 10% по seed-деньгам (~2.4 млн), крупный оборот (2.4 млн). Роль устойчива в 100% вариантов порогов. Кластер 48. Уже известен (seed). Роль — гипотеза по косвенным признакам. Требует проверки.",0.7,C,1.0,False,True,0,48,2,4,2378100.0,1505966.0,2378100.0,1.0,2,True,2
39,100000002398779100,consolidator,0.6449,"признаки консолидации: 13 плательщиков, получил 1.1 млн; отдал дальше 6%; до 7 плательщиков в день; связь с seed-деньгами слабая, возможна легальная активность. Приоритет: совокупность структурных признаков. Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки.",0.694,B,1.0,True,False,2,2,13,1,1095690.0,66000.0,30411.36642466306,0.027755447639992208,0,False,0
40,100000005382566100,consolidator,0.6434,"[seed] признаки консолидации: 7 плательщиков (из них seed: 6), получил 393 тыс; видимый вход неполный; связан ещё с 6 seed; взаимные переводы с 1; доля seed-денег ~100%. Приоритет: верхние 10% по seed-деньгам (~340 тыс). Роль устойчива в 100% вариантов порогов. Кластер 22. Уже известен (seed). Требует проверки.",0.662,B,1.0,False,True,0,22,7,1,393066.0,50000.0,339962.36993433494,1.0,6,False,1
41,100000003004487100,transit,0.6387,"признаки транзита: получил 184 тыс, отправил 265 тыс; 92% отправлено в течение 2 дней после входа; связан с 1 seed; взаимные переводы с 1. Приоритет: совокупность структурных признаков. Роль устойчива в 100% вариантов порогов. Кластер 37. Роль — гипотеза по косвенным признакам. Требует проверки.",0.712,C,1.0,False,False,1,37,4,2,183702.8,265015.0,48512.523809062455,0.1830557659342394,1,False,1
42,100000000343175100,coordinator,0.637,"[seed] признаки координации: 8 плательщиков и 31 получатель; связан ещё с 1 seed; доля seed-денег ~100%. Приоритет: верхние 10% по seed-деньгам (~74 тыс), крупный оборот (4.0 млн). Роль устойчива в 100% вариантов порогов. Кластер 16. Уже известен (seed). Требует проверки.",0.677,B,1.0,False,True,0,16,8,31,178712.0,4000039.0,74168.06365923124,1.0,1,False,0
43,100000002723538100,distributor,0.6356,"веерная рассылка: 12 получателей, отправил 560 тыс; видимый вход 106 тыс, источник вне выгрузки; связан с 1 seed; участвует в круговых потоках (3+ участника). Приоритет: совокупность структурных признаков. Роль устойчива в 100% вариантов порогов. Кластер 6. Требует проверки.",0.52,B,1.0,False,False,2,6,3,12,105647.0,560499.0,6091.344401813376,0.010867716805584623,1,True,1
44,100000005171642100,transit,0.633,"признаки транзита: получил 697 тыс, отправил 684 тыс (98%); 96% отправлено в течение 2 дней после входа; участвует в круговых потоках (3+ участника). Приоритет: совокупность структурных признаков. Связь с seed не подтверждена: приоритет за счёт структуры, возможна легальная активность. Роль устойчива в 100% вариантов порогов. Кластер 32. Требует проверки.",0.698,B,1.0,True,False,3,32,2,1,696800.0,683600.0,45199.419376917074,0.06486713458224908,0,True,1
45,100000002527114100,distributor,0.6286,"[seed] веерная рассылка: 111 получателей, отправил 3.3 млн; взаимные переводы с 3; доля seed-денег ~100%. Приоритет: крупный оборот (3.3 млн). Роль устойчива в 100% вариантов порогов. Кластер 1. Уже известен (seed). Требует проверки.",1.0,B,1.0,False,True,0,1,3,111,129000.0,3289249.0,40546.65093273082,1.0,0,False,3
46,100000002894076100,terminal,0.6276,"конечная точка в пределах выгрузки: получил 1.1 млн от 4 плательщиков, исходящих нет; доля seed-денег ~73%; связан с 2 seed. Приоритет: верхние 10% по seed-деньгам (~822 тыс), синхронные поступления от нескольких плательщиков. Роль устойчива в 67% вариантов порогов. Кластер 9. Требует проверки.",0.977,B,0.6666666666666666,False,False,1,9,4,0,1122782.0,0.0,822302.2008379006,0.7323792159456606,2,False,0
47,100000004403675100,peripheral,0.6231,"выраженных признаков нет: 4 вх./5 исх., оборот 265 тыс; связан с 3 seed; участвует в круговых потоках (3+ участника). Приоритет: верхние 10% по seed-деньгам (~94 тыс). Роль устойчива в 100% вариантов порогов. Кластер 22. Требует проверки.",0.6,B,1.0,False,False,1,22,4,5,182980.0,264699.0,93552.74600304084,0.3534306740979031,3,True,1
48,100000006972210100,terminal,0.6215,"конечная точка в пределах выгрузки: получил 489 тыс от 3 плательщиков, исходящих нет; доля seed-денег ~100%; связан с 3 seed. Приоритет: верхние 10% по seed-деньгам (~489 тыс). Роль устойчива в 100% вариантов порогов. Кластер 19. Требует проверки.",0.83,B,1.0,False,False,1,19,3,0,488775.0,0.0,488775.0,1.0,3,False,0
49,100000008512552100,transit,0.6211,"признаки транзита: получил 394 тыс, отправил 1.3 млн; 100% отправлено в течение 2 дней после входа; участвует в круговых потоках (3+ участника). Приоритет: крупный оборот (1.3 млн). Связь с seed не подтверждена: приоритет за счёт структуры, возможна легальная активность. Роль устойчива в 100% вариантов порогов. Кластер 17. Роль — гипотеза по косвенным признакам. Требует проверки.",0.6,C,1.0,True,False,2,17,4,6,394360.0,1302275.0,9937.731195593167,0.007631054267027446,0,True,1
50,100000002224132100,transit,0.6203,"признаки транзита: получил 4.0 млн, отправил 12.1 млн; 73% отправлено в течение 2 дней после входа; участвует в круговых потоках (3+ участника). Приоритет: верхние 10% по seed-деньгам (~181 тыс), крупный оборот (12.1 млн). Связь с seed не подтверждена: приоритет за счёт структуры, возможна легальная активность. Роль устойчива в 100% вариантов порогов. Кластер 27. Роль — гипотеза по косвенным признакам. Требует проверки.",0.361,C,1.0,True,False,2,27,5,4,3951020.0,12115000.0,181058.7301224132,0.014945004549930929,0,True,3
