cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,sum_in_external,sum_out_external,seed_share_internal,back_share,star_share,hub,n_internal_edges,tx_per_link,n_in_cycle3,n_truncated,max_priority,mean_priority,stability,n_coordinator,n_consolidator,n_distributor,n_transit,n_terminal,n_peripheral,cluster_type,hypothesis_strength,hypothesis
14,46,3,5198365.0,100000004015047100;100000003923946100;100000008748408100;100000001411870100;100000002836736100,893216.8,660000.0,0.426,0.227,0.357,100000008748408100,56,1.84,0,0,0.7954,0.3101,0.757,0,1,1,1,7,36,collection,сильная,"Гипотеза: возможный сбор средств: узел 100000004015047100 получил 919 тыс от 9 плательщиков (из них seed: 3), seed в группе: 3"
15,44,0,10215968.84,100000005933757100;100000004159526100;100000001937767100;100000002605308100;100000005958064100,243701.0,527149.0,0.0,0.286,0.565,100000002963189100,46,1.65,1,7,0.6201,0.1884,0.983,0,0,1,0,4,39,fan_out,слабая,Гипотеза: веерная раздача: узел 100000005933757100 отправил 3.0 млн 34 получателям; связь ключевого узла с seed-деньгами слабая
16,43,1,5318439.0,100000003115284100;100000000343175100;100000002957306100;100000008730846100;100000001924185100,2121459.0,640680.0,0.634,0.139,0.511,100000000343175100,47,1.55,4,5,0.8416,0.3596,0.991,1,1,0,1,10,30,core,умеренная,"Гипотеза: возможное ядро: узел 100000000343175100 собирает от 8 плательщиков и раздаёт 31 получателю, seed в группе: 1; 4 узла в круговых потоках; 63% внутреннего оборота исходит от seed"
17,41,0,5151924.19,100000008512552100;100000003242289100;100000008413748100;100000003178549100;100000008221543100,919297.0,661478.3,0.0,0.24,0.4,100000003242289100,45,1.2,5,9,0.6211,0.2126,0.982,0,0,2,1,5,33,fan_out,слабая,Гипотеза: веерная раздача: узел 100000003242289100 отправил 2.4 млн 23 получателям; 5 узлов в круговых потоках; связь ключевого узла с seed-деньгами слабая
18,37,1,3362155.28,100000004156082100;100000005339662100;100000004820260100;100000008188026100;100000004527381100,281329.0,284260.0,0.0,0.181,0.512,100000004156082100,41,1.49,6,1,0.7418,0.2607,0.822,0,0,1,3,6,27,fan_out,умеренная,"Гипотеза: веерная раздача: узел 100000004156082100 отправил 2.3 млн 26 получателям, seed в группе: 1; 6 узлов в круговых потоках"
19,30,1,4579928.59,100000002838861100;100000006972210100;100000001162560100;100000003071930100;100000006443391100,812426.0,854566.0,0.443,0.015,0.406,100000001162560100,32,1.41,0,0,0.7074,0.3361,1.0,0,1,2,0,10,17,collection,сильная,"Гипотеза: возможный сбор средств: узел 100000002838861100 получил 555 тыс от 5 плательщиков (из них seed: 2), seed в группе: 1"
20,30,1,6513430.0,100000008546855100;100000001049200100;100000003854444100;100000006274203100;100000007594394100,436127.0,147115.0,0.0,0.035,0.406,100000007594394100,32,2.47,1,5,0.5117,0.2457,0.973,0,1,1,0,7,21,collection,слабая,"Гипотеза: возможный сбор средств: узел 100000008546855100 получил 72 тыс от 6 плательщиков, seed в группе: 1; связь ключевого узла с seed-деньгами слабая"
21,29,0,446070.0,100000008460102100;100000001164648100;100000004891562100;100000002706810100;100000008715513100,23900.0,30500.0,0.0,0.016,1.0,100000008460102100,28,1.11,0,27,0.3662,0.0519,0.929,0,0,1,0,0,28,fan_out,слабая,"Гипотеза: веерная раздача: узел 100000008460102100 отправил 477 тыс 31 получателю; структура «звезда» вокруг одного узла; больше половины узлов обрезаны последним коленом, картина неполная; связь ключевого узла с seed-деньгами слабая"
22,26,14,2289450.0,100000005382566100;100000004403675100;100000004744306100;100000003823811100;100000008254069100,203680.0,101495.0,0.588,0.69,0.214,100000004041163100,28,1.64,1,2,0.6434,0.2931,0.907,0,1,0,0,0,25,collection,сильная,"Гипотеза: возможный сбор средств: узел 100000005382566100 получил 393 тыс от 7 плательщиков (из них seed: 6), seed в группе: 14; 69% оборота идёт назад по коленам — возможны возвратные потоки; 59% внутреннего оборота исходит от seed"
23,25,0,5089597.0,100000005527892100;100000006977207100;100000002531406100;100000008343874100;100000002459832100,1109352.0,505240.0,0.0,0.024,0.583,100000006977207100,24,1.12,0,6,0.5117,0.2482,0.72,0,0,1,1,9,14,fan_out,слабая,Гипотеза: веерная раздача: узел 100000006977207100 отправил 4.2 млн 15 получателям; связь ключевого узла с seed-деньгами слабая
24,25,0,7556605.0,100000008743913100;100000008710843100;100000001303311100;100000002748532100;100000008758168100,1134629.0,743780.0,0.0,0.206,0.357,100000001887715100,28,1.25,1,3,0.5348,0.2716,0.833,0,1,2,0,10,12,fan_out,слабая,Гипотеза: веерная раздача: узел 100000008743913100 отправил 1.9 млн 13 получателям; связь ключевого узла с seed-деньгами слабая
25,20,0,617900.0,100000003154105100;100000002448088100;100000000723383100;100000001427082100;100000002185328100,16800.0,0.0,0.0,0.024,0.421,100000003154105100,19,1.16,0,15,0.326,0.1631,1.0,0,0,0,0,0,20,periphery,слабая,"Гипотеза: группа вокруг узла 100000003154105100 (периферия): 20 узлов, оборот 618 тыс, выраженных ролей нет; больше половины узлов обрезаны последним коленом, картина неполная"
26,18,0,3422800.0,100000003701161100;100000002267998100;100000003718221100;100000008137435100;100000003104347100,302009.0,51400.0,0.0,0.511,0.286,100000003701161100,21,1.9,4,2,0.581,0.2863,1.0,0,0,0,2,3,13,transit_chain,слабая,"Гипотеза: возможная транзитная цепочка через узел 100000002267998100: получил 420 тыс, отправил 1.1 млн; 4 узла в круговых потоках; 51% оборота идёт назад по коленам — возможны возвратные потоки; связь ключевого узла с seed-деньгами слабая"
27,17,1,21586840.0,100000002224132100;100000004603109100;100000004892144100;100000001965374100;100000003835149100,17000.0,0.0,0.014,0.063,0.375,100000002224132100,24,2.54,5,0,0.6203,0.3621,0.976,0,0,0,1,3,13,transit_chain,слабая,"Гипотеза: возможная транзитная цепочка через узел 100000002224132100: получил 4.0 млн, отправил 12.1 млн, seed в группе: 1; 5 узлов в круговых потоках; связь ключевого узла с seed-деньгами слабая"
28,17,1,2977887.0,100000004160650100;100000004007116100;100000002731501100;100000003616818100;100000004005964100,0.0,0.0,0.05,0.536,0.387,100000004160650100,31,2.68,5,1,0.6184,0.3158,1.0,0,0,1,1,5,10,fan_out,умеренная,"Гипотеза: веерная раздача: узел 100000004160650100 отправил 1.5 млн 10 получателям, seed в группе: 1; 5 узлов в круговых потоках; 54% оборота идёт назад по коленам — возможны возвратные потоки"
29,16,0,1335158.0,100000006707582100;100000007998965100;100000007534354100;100000004644615100;100000004732589100,189000.0,196975.0,0.0,0.051,0.625,100000006707582100,16,1.94,0,2,0.6115,0.2346,0.721,0,1,1,0,3,11,fan_out,слабая,Гипотеза: веерная раздача: узел 100000006707582100 отправил 961 тыс 14 получателям; связь ключевого узла с seed-деньгами слабая
30,15,0,850450.0,100000001526235100;100000002472632100;100000005505655100;100000001788284100;100000000860514100,13070.0,0.0,0.0,0.323,0.611,100000002472632100,18,1.22,0,6,0.4286,0.1917,1.0,0,0,0,0,0,15,periphery,слабая,"Гипотеза: группа вокруг узла 100000002472632100 (периферия): 15 узлов, оборот 850 тыс, выраженных ролей нет"
31,15,0,3626010.0,100000008461532100;100000006704530100;100000000791285100;100000003122817100;100000002691583100,5300.0,0.0,0.0,0.154,0.6,100000008461532100,15,1.2,0,6,0.5206,0.1681,1.0,0,0,0,2,3,10,transit_chain,слабая,"Гипотеза: возможная транзитная цепочка через узел 100000008461532100: получил 565 тыс, отправил 2.5 млн; связь ключевого узла с seed-деньгами слабая"
32,15,0,3436955.0,100000005171642100;100000004221668100;100000002152857100;100000003111305100;100000006240939100,541373.0,190000.0,0.0,0.303,0.353,100000004221668100,17,1.88,3,3,0.633,0.3144,0.826,0,0,0,1,3,11,transit_chain,слабая,"Гипотеза: возможная транзитная цепочка через узел 100000005171642100: получил 697 тыс, отправил 684 тыс; 3 узла в круговых потоках; связь ключевого узла с seed-деньгами слабая"
33,14,0,1605604.0,100000008213966100;100000007382543100;100000000838385100;100000003001661100;100000004407753100,31000.0,0.0,0.0,0.233,0.438,100000007382543100,16,2.06,0,6,0.5259,0.2096,0.917,0,0,0,1,0,13,transit_chain,слабая,"Гипотеза: возможная транзитная цепочка через узел 100000008213966100: получил 187 тыс, отправил 437 тыс; связь ключевого узла с seed-деньгами слабая"
34,13,1,1392916.0,100000001380054100;100000000703894100;100000005077484100;100000000607731100;100000001782980100,0.0,0.0,0.213,0.12,0.429,100000001782980100,14,1.21,0,0,0.4947,0.2999,1.0,0,0,0,0,1,12,seed_periphery,слабая,"Гипотеза: окружение seed 100000001782980100: 13 узлов, преимущественно разовые переводы (в среднем 1.2 перевода на связь), оборот 1.4 млн"
35,13,0,6748650.0,100000007442518100;100000008258083100;100000000673868100;100000000821507100;100000002911170100,395000.0,99999.0,0.0,0.041,0.6,100000008258083100,15,2.4,3,2,0.6771,0.2493,1.0,0,0,0,1,6,6,transit_chain,умеренная,"Гипотеза: возможная транзитная цепочка через узел 100000007442518100: получил 510 тыс, отправил 4.4 млн; 3 узла в круговых потоках"
36,12,0,422700.0,100000004847758100;100000000089154100;100000008111003100;100000008106997100;100000000910216100,349187.0,599210.0,0.0,0.0,0.545,100000004847758100,11,1.64,3,0,0.7032,0.3208,0.415,0,1,2,0,0,9,fan_out,слабая,Гипотеза: веерная раздача: узел 100000004847758100 отправил 489 тыс 15 получателям; 3 узла в круговых потоках; связь ключевого узла с seed-деньгами слабая; границы группы неустойчивы (устойчивость 0.41)
37,11,0,3784703.0,100000003004487100;100000002175422100;100000003557488100;100000002710570100;100000001317336100,68702.8,0.0,0.0,0.038,0.692,100000001317336100,13,1.92,0,3,0.6387,0.2866,1.0,0,0,0,1,2,8,transit_chain,умеренная,"Гипотеза: возможная транзитная цепочка через узел 100000003004487100: получил 184 тыс, отправил 265 тыс"
38,10,0,1929434.85,100000007639767100;100000002741024100;100000007629096100;100000001439416100;100000008680912100,342868.0,263994.0,0.0,0.591,0.75,100000007629096100,12,1.5,1,1,0.699,0.2725,0.807,0,0,1,0,0,9,fan_out,слабая,Гипотеза: веерная раздача: узел 100000007639767100 отправил 822 тыс 10 получателям; 59% оборота идёт назад по коленам — возможны возвратные потоки
39,10,0,322010.0,100000008172352100;100000007322059100;100000000993112100;100000001597505100;100000004552204100,90265.0,12920.0,0.0,0.016,0.7,100000008172352100,10,1.2,0,1,0.4918,0.2403,1.0,0,0,0,0,1,9,periphery,слабая,"Гипотеза: группа вокруг узла 100000008172352100 (периферия): 10 узлов, оборот 322 тыс, выраженных ролей нет"
40,10,0,603900.0,100000003635170100;100000004209339100;100000002156381100;100000002696152100;100000003321423100,25000.0,0.0,0.0,0.488,0.5,100000003635170100,12,3.0,0,2,0.6722,0.2603,1.0,0,0,0,1,1,8,transit_chain,умеренная,"Гипотеза: возможная транзитная цепочка через узел 100000003635170100: получил 268 тыс, отправил 254 тыс; 49% оборота идёт назад по коленам — возможны возвратные потоки"
41,10,0,1727065.0,100000004076740100;100000004017410100;100000005519998100;100000004336312100;100000003934614100,46250.0,8000.0,0.0,0.168,0.412,100000004017410100,17,2.0,5,2,0.5305,0.3269,0.883,0,0,0,0,0,10,periphery,слабая,"Гипотеза: группа вокруг узла 100000004017410100 (периферия): 10 узлов, оборот 1.7 млн, выраженных ролей нет; 5 узлов в круговых потоках"
42,9,0,1406982.0,100000002217161100;100000001445848100;100000007647294100;100000008254576100;100000000954884100,52900.0,0.0,0.0,0.25,0.889,100000002217161100,9,3.78,0,1,0.5258,0.186,1.0,0,0,0,1,1,7,transit_chain,слабая,"Гипотеза: возможная транзитная цепочка через узел 100000002217161100: получил 405 тыс, отправил 995 тыс; структура «звезда» вокруг одного узла; связь ключевого узла с seed-деньгами слабая"
43,8,0,2473417.91,100000004906181100;100000008175078100;100000008675322100;100000000557536100;100000008349740100,100000.0,0.0,0.0,0.0,1.0,100000004906181100,7,4.71,0,7,0.2745,0.1056,1.0,0,0,0,0,0,8,periphery,слабая,"Гипотеза: группа вокруг узла 100000004906181100 (периферия): 8 узлов, оборот 2.5 млн, выраженных ролей нет; структура «звезда» вокруг одного узла; больше половины узлов обрезаны последним коленом, картина неполная"
44,8,0,389000.0,100000005507142100;100000002612809100;100000001825934100;100000005264874100;100000002214207100,23000.0,0.0,0.0,0.072,0.556,100000002612809100,9,1.33,0,4,0.4195,0.2544,1.0,0,0,0,0,0,8,periphery,слабая,"Гипотеза: группа вокруг узла 100000002612809100 (периферия): 8 узлов, оборот 389 тыс, выраженных ролей нет; больше половины узлов обрезаны последним коленом, картина неполная"
45,7,0,143000.0,100000005911352100;100000004508696100;100000000507799100;100000002217806100;100000003962994100,5132.0,0.0,0.0,0.049,0.714,100000004508696100,7,1.14,0,2,0.3427,0.2153,1.0,0,0,0,0,0,7,periphery,слабая,"Гипотеза: группа вокруг узла 100000004508696100 (периферия): 7 узлов, оборот 143 тыс, выраженных ролей нет"
46,7,0,3077000.0,100000002241986100;100000001053894100;100000002594214100;100000004047887100;100000001286703100,280000.0,0.0,0.0,0.0,1.0,100000002241986100,6,2.0,0,6,0.299,0.1148,1.0,0,0,0,0,0,7,periphery,слабая,"Гипотеза: группа вокруг узла 100000002241986100 (периферия): 7 узлов, оборот 3.1 млн, выраженных ролей нет; структура «звезда» вокруг одного узла; больше половины узлов обрезаны последним коленом, картина неполная"
47,7,0,214370.0,100000003796063100;100000003741418100;100000008244300100;100000006111439100;100000005189258100,164030.0,808700.0,0.0,0.481,0.5,100000003796063100,8,1.25,1,2,0.5805,0.3144,0.804,0,2,1,0,0,4,fan_out,слабая,Гипотеза: веерная раздача: узел 100000003796063100 отправил 959 тыс 15 получателям; 48% оборота идёт назад по коленам — возможны возвратные потоки; связь ключевого узла с seed-деньгами слабая
48,7,3,4442461.0,100000008637537100;100000001732159100;100000003404627100;100000008314203100;100000002681449100,255338.0,13000.0,0.942,0.818,0.545,100000001732159100,11,6.18,3,0,0.6714,0.4899,1.0,0,0,0,2,1,4,transit_chain,умеренная,"Гипотеза: возможная транзитная цепочка через узел 100000008637537100: получил 620 тыс, отправил 2.4 млн, seed в группе: 3; 3 узла в круговых потоках; 82% оборота идёт назад по коленам — возможны возвратные потоки; 94% внутреннего оборота исходит от seed"
49,7,0,1765600.0,100000007392365100;100000007865484100;100000008551752100;100000003631015100;100000004976946100,9613.0,0.0,0.0,0.0,1.0,100000007392365100,6,1.5,0,6,0.23,0.113,1.0,0,0,0,0,0,7,periphery,слабая,"Гипотеза: группа вокруг узла 100000007392365100 (периферия): 7 узлов, оборот 1.8 млн, выраженных ролей нет; структура «звезда» вокруг одного узла; больше половины узлов обрезаны последним коленом, картина неполная"
50,7,0,1268308.0,100000008011159100;100000006169033100;100000006232642100;100000005754335100;100000003664994100,17000.0,25000.0,0.0,0.273,0.714,100000006169033100,7,2.0,0,2,0.4221,0.2159,0.975,0,0,0,0,0,7,periphery,слабая,"Гипотеза: группа вокруг узла 100000006169033100 (периферия): 7 узлов, оборот 1.3 млн, выраженных ролей нет"
51,6,1,1615030.0,100000008736940100;100000008193577100;100000008751429100;100000005456919100;100000008659445100,0.0,0.0,0.542,0.455,0.5,100000008659445100,14,3.07,5,0,0.5675,0.466,1.0,0,0,0,0,0,6,seed_periphery,слабая,"Гипотеза: окружение seed 100000008659445100: 6 узлов, преимущественно разовые переводы (в среднем 3.1 перевода на связь), оборот 1.6 млн; 5 узлов в круговых потоках; 46% оборота идёт назад по коленам — возможны возвратные потоки; 54% внутреннего оборота исходит от seed"
52,6,0,618800.0,100000008566737100;100000008731444100;100000003134934100;100000000569479100;100000004099450100,805554.0,260967.8,0.0,0.392,1.0,100000008731444100,5,1.0,0,0,0.4851,0.3095,0.333,0,0,0,0,3,3,periphery,слабая,"Гипотеза: группа вокруг узла 100000008731444100 (периферия): 6 узлов, оборот 619 тыс, выраженных ролей нет; структура «звезда» вокруг одного узла; границы группы неустойчивы (устойчивость 0.33)"
53,6,1,1527967.0,100000005183943100;100000007939160100;100000000580561100;100000003888271100;100000007930878100,0.0,0.0,0.974,0.018,0.714,100000000580561100,7,2.57,0,0,0.4342,0.3107,1.0,0,0,0,0,1,5,seed_periphery,слабая,"Гипотеза: окружение seed 100000000580561100: 6 узлов, преимущественно разовые переводы (в среднем 2.6 перевода на связь), оборот 1.5 млн; 97% внутреннего оборота исходит от seed"
54,6,0,2540000.0,100000004479404100;100000004717647100;100000002922000100;100000002659103100;100000001533161100,12000.0,0.0,0.0,0.583,1.0,100000004717647100,6,2.0,0,4,0.3772,0.1819,1.0,0,0,0,0,0,6,periphery,слабая,"Гипотеза: группа вокруг узла 100000004717647100 (периферия): 6 узлов, оборот 2.5 млн, выраженных ролей нет; структура «звезда» вокруг одного узла; 58% оборота идёт назад по коленам — возможны возвратные потоки; больше половины узлов обрезаны последним коленом, картина неполная"
55,6,1,275885.0,100000005895525100;100000002462183100;100000005056870100;100000007175718100;100000005807278100,0.0,0.0,1.0,0.0,1.0,100000005485830100,5,1.8,0,0,0.4101,0.2778,1.0,0,0,0,0,2,4,seed_periphery,слабая,"Гипотеза: окружение seed 100000005485830100: 6 узлов, преимущественно разовые переводы (в среднем 1.8 перевода на связь), оборот 276 тыс; структура «звезда» вокруг одного узла; 100% внутреннего оборота исходит от seed"
56,6,0,2534500.0,100000003747133100;100000004722765100;100000005075949100;100000002578653100;100000006527156100,237068.0,0.0,0.0,0.0,0.8,100000004722765100,5,2.2,0,3,0.5228,0.2393,1.0,0,0,0,1,0,5,transit_chain,слабая,"Гипотеза: возможная транзитная цепочка через узел 100000003747133100: получил 237 тыс, отправил 250 тыс; структура «звезда» вокруг одного узла; больше половины узлов обрезаны последним коленом, картина неполная; связь ключевого узла с seed-деньгами слабая"
57,6,0,720900.0,100000008761219100;100000006638021100;100000007472293100;100000008333492100;100000002794374100,55000.0,0.0,0.0,0.0,0.6,100000006638021100,5,1.0,0,4,0.325,0.1675,1.0,0,0,0,0,0,6,periphery,слабая,"Гипотеза: группа вокруг узла 100000006638021100 (периферия): 6 узлов, оборот 721 тыс, выраженных ролей нет; больше половины узлов обрезаны последним коленом, картина неполная"
58,6,1,383300.0,100000005546031100;100000004331458100;100000004094958100;100000005547096100;100000005363908100,0.0,0.0,0.233,0.641,0.5,100000004331458100,8,1.38,0,0,0.4413,0.3216,1.0,0,0,0,0,1,5,seed_periphery,слабая,"Гипотеза: окружение seed 100000004331458100: 6 узлов, преимущественно разовые переводы (в среднем 1.4 перевода на связь), оборот 383 тыс; 64% оборота идёт назад по коленам — возможны возвратные потоки"
59,5,0,1189154.0,100000000291906100;100000004670388100;100000000291908100;100000004722630100;100000004691350100,8000.0,0.0,0.0,0.32,0.6,100000004670388100,5,2.2,0,2,0.4082,0.2672,1.0,0,0,0,0,0,5,periphery,слабая,"Гипотеза: группа вокруг узла 100000004670388100 (периферия): 5 узлов, оборот 1.2 млн, выраженных ролей нет"
60,5,0,172000.0,100000005031696100;100000004659919100;100000001223977100;100000002700161100;100000008461217100,5000.0,0.0,0.0,0.0,0.5,100000004659919100,4,1.25,0,2,0.2946,0.206,1.0,0,0,0,0,0,5,periphery,слабая,"Гипотеза: группа вокруг узла 100000004659919100 (периферия): 5 узлов, оборот 172 тыс, выраженных ролей нет"
61,5,0,338950.0,100000004715209100;100000008190411100;100000003133045100;100000004747154100;100000001498732100,5000.0,11500.0,0.0,0.0,1.0,100000004715209100,4,3.75,0,4,0.2243,0.0986,0.807,0,0,0,0,0,5,periphery,слабая,"Гипотеза: группа вокруг узла 100000004715209100 (периферия): 5 узлов, оборот 339 тыс, выраженных ролей нет; структура «звезда» вокруг одного узла; больше половины узлов обрезаны последним коленом, картина неполная"
62,5,1,2809200.0,100000004135268100;100000008571433100;100000002738256100;100000004979498100;100000007507343100,0.0,0.0,0.51,0.187,0.714,100000004135268100,7,1.29,3,0,0.7455,0.5449,1.0,0,0,0,3,1,1,transit_chain,умеренная,"Гипотеза: возможная транзитная цепочка через узел 100000004135268100: получил 1.2 млн, отправил 1.0 млн, seed в группе: 1; 3 узла в круговых потоках; 51% внутреннего оборота исходит от seed"
63,5,2,108007.0,100000006562026100;100000007347733100;100000008129393100;100000006249740100;100000006831291100,0.0,0.0,1.0,0.0,0.75,100000006249740100,4,2.0,0,0,0.4132,0.2224,1.0,0,0,0,0,0,5,seed_periphery,слабая,"Гипотеза: окружение seed 100000006249740100: 5 узлов, преимущественно разовые переводы (в среднем 2.0 перевода на связь), оборот 108 тыс; 100% внутреннего оборота исходит от seed"
64,4,0,53500.0,100000000288317100;100000006416061100;100000006866831100;100000000018102100,100000.0,0.0,0.0,0.0,1.0,100000000288317100,3,1.0,0,3,0.3541,0.16,0.486,0,0,0,0,0,4,periphery,слабая,"Гипотеза: группа вокруг узла 100000000288317100 (периферия): 4 узла, оборот 54 тыс, выраженных ролей нет; больше половины узлов обрезаны последним коленом, картина неполная; границы группы неустойчивы (устойчивость 0.49)"
65,4,0,460000.0,100000000201868100;100000006069103100;100000003192220100;100000006787636100,38818.0,0.0,0.0,0.413,1.0,100000006069103100,4,1.25,0,0,0.5381,0.3686,0.805,0,0,0,1,0,3,transit_chain,умеренная,"Гипотеза: возможная транзитная цепочка через узел 100000000201868100: получил 190 тыс, отправил 190 тыс; 41% оборота идёт назад по коленам — возможны возвратные потоки"
66,4,0,518000.0,100000002205022100;100000003163886100;100000000629812100;100000001380107100,17100.0,0.0,0.0,0.023,1.0,100000002205022100,3,1.0,0,0,0.3322,0.2389,1.0,0,0,0,0,1,3,periphery,слабая,"Гипотеза: группа вокруг узла 100000002205022100 (периферия): 4 узла, оборот 518 тыс, выраженных ролей нет"
67,4,1,1404980.0,100000001872484100;100000008601794100;100000000785800100;100000002459163100,0.0,0.0,0.62,0.352,0.8,100000001872484100,5,4.6,3,0,0.4883,0.372,1.0,0,0,0,0,0,4,seed_periphery,слабая,"Гипотеза: окружение seed 100000001872484100: 4 узла, преимущественно разовые переводы (в среднем 4.6 перевода на связь), оборот 1.4 млн; 3 узла в круговых потоках; 62% внутреннего оборота исходит от seed"
